constraint_name,table_name,column_name,foreign_table_name,foreign_column_name
objects_bucketId_fkey,storage.objects,bucket_id,storage.buckets,id
identities_user_id_fkey,auth.identities,user_id,auth.users,id
s3_multipart_uploads_bucket_id_fkey,storage.s3_multipart_uploads,bucket_id,storage.buckets,id
sessions_user_id_fkey,auth.sessions,user_id,auth.users,id
refresh_tokens_session_id_fkey,auth.refresh_tokens,session_id,auth.sessions,id
mfa_factors_user_id_fkey,auth.mfa_factors,user_id,auth.users,id
mfa_challenges_auth_factor_id_fkey,auth.mfa_challenges,factor_id,auth.mfa_factors,id
mfa_amr_claims_session_id_fkey,auth.mfa_amr_claims,session_id,auth.sessions,id
sso_domains_sso_provider_id_fkey,auth.sso_domains,sso_provider_id,auth.sso_providers,id
saml_providers_sso_provider_id_fkey,auth.saml_providers,sso_provider_id,auth.sso_providers,id
saml_relay_states_sso_provider_id_fkey,auth.saml_relay_states,sso_provider_id,auth.sso_providers,id
saml_relay_states_flow_state_id_fkey,auth.saml_relay_states,flow_state_id,auth.flow_state,id
one_time_tokens_user_id_fkey,auth.one_time_tokens,user_id,auth.users,id
s3_multipart_uploads_parts_upload_id_fkey,storage.s3_multipart_uploads_parts,upload_id,storage.s3_multipart_uploads,id
s3_multipart_uploads_parts_bucket_id_fkey,storage.s3_multipart_uploads_parts,bucket_id,storage.buckets,id
posts_artist_id_fkey,posts,artist_id,artists,id
postvariations_post_id_fkey,postvariations,post_id,posts,id
profilestats_artist_id_fkey,profilestats,artist_id,artists,id
prefixes_bucketId_fkey,storage.prefixes,bucket_id,storage.buckets,id
profiles_id_fkey,profiles,id,auth.users,id
